date, pm25, pm10, o3, no2, so2, co
2023/11/18, 64, 28, 21, 9, 1, 
2023/11/19, 76, 44, 20, 13, 1, 
2023/11/20, 101, 41, 25, 5, 1, 
2023/11/21, 52, 9, 24, 6, 1, 
2023/11/22, 13, , 22, 12, 1, 
2023/11/28, 8, 38, 25, 6, 2, 
2023/11/29, 34, 35, 24, 5, 3, 
2023/11/30, 27, 40, 27, 8, 3, 
2023/12/1, 33, 9, 25, 5, 3, 
2023/12/2, 18, 10, 22, 8, 3, 
2023/12/3, 28, 21, 22, 9, 3, 
2023/12/4, 31, 25, 23, 12, 3, 
2023/12/5, 34, 13, 29, 7, 3, 
2023/12/6, 45, 16, 22, 9, 3, 
2023/12/7, 48, 3, 31, 1, 3, 
2023/12/8, 8, 6, 23, 6, 3, 
2023/12/9, 16, 3, 21, 2, 3, 
2023/12/10, 9, 23, 15, 12, 4, 
2023/12/11, 29, 10, 12, 14, 3, 
2023/12/12, 22, 34, 17, 12, 3, 
2023/12/13, 26, 47, 24, 8, 1, 
2023/12/14, 30, 43, 18, 20, 2, 
2023/12/15, 49, 12, 24, 12, 1, 
2023/12/16, 33, 12, 29, 6, 1, 
2023/12/17, 40, 40, 15, 16, 2, 
2023/12/18, 66, 48, 12, 19, 2, 
2023/12/19, 62, 47, 26, 10, 1, 
2023/12/20, 49, 32, 16, 17, 1, 
