date, pm25, pm10, o3, no2, so2, co
2023/10/4, 50, 15, 36, 2, 1, 
2023/10/5, 48, 16, 36, 3, 1, 
2023/10/6, 48, 15, 33, 2, 1, 
2023/10/7, 50, 13, 32, 1, 1, 
2023/10/8, 45, 13, 35, 1, 1, 
2023/10/9, 43, 18, 35, 1, 1, 
2023/10/10, 33, 11, 37, 1, 1, 
2023/10/11, 32, 11, 35, 1, 1, 
2023/10/12, 38, 13, 34, , 1, 
2023/10/13, 38, 18, 28, , 1, 
2023/10/14, 35, 10, 30, , 1, 
2023/10/15, 34, 11, 25, , 1, 
2023/10/16, 40, 16, 29, , 1, 
2023/10/17, 52, 7, 27, , 1, 
2023/10/18, 31, 3, 30, 1, 1, 
2023/10/19, 7, 1, 30, 1, 1, 
2023/10/20, 5, 2, 31, 1, 1, 
2023/10/21, 11, 2, 31, 1, 1, 
2023/10/22, 9, 4, 29, 1, 1, 
2023/10/23, 10, 2, 28, 1, 1, 
2023/10/24, 6, 2, 27, 1, 1, 
2023/10/25, 7, 2, 24, , 1, 
2023/10/26, 5, 3, 28, 2, 1, 
2023/10/27, 9, 4, 28, 1, 1, 
2023/10/28, 8, 2, 29, 1, 1, 
2023/10/29, 9, 3, 29, 1, 1, 
2023/10/30, 12, 5, 25, 4, 1, 
2023/10/31, 11, 3, 27, 2, 1, 
2023/11/1, 9, 8, 28, 1, 1, 
2023/11/2, 9, 1, 27, 1, 1, 
2023/11/3, 6, 2, 31, 1, 1, 
2023/11/4, 7, 2, 29, , 1, 
2023/11/5, 8, 4, 28, 1, 1, 
2023/11/6, 8, 1, 29, 1, 1, 
2023/11/7, 6, 4, 27, 4, 1, 
2023/11/8, 13, 3, 29, 1, 1, 
2023/11/9, 9, 5, 28, 1, 1, 
2023/11/10, 10, 2, 21, 1, 1, 
2023/11/11, 8, 1, 17, 1, 1, 
2023/11/13, 8, 4, 22, 2, 1, 
2023/11/14, 7, 5, 22, 3, 1, 
2023/11/15, 13, 5, 20, 1, 1, 
2023/11/16, 11, 4, 27, 3, 1, 
2023/11/17, 9, 5, 27, 2, 1, 
2023/11/18, 19, 6, 26, 4, 1, 
2023/11/19, 20, 9, 27, 4, 1, 
2023/11/20, 29, 24, 25, 1, 1, 
2023/11/21, 19, 8, 27, , 1, 
2023/11/22, 8, 5, 29, , 1, 
2023/11/23, 9, 7, 32, 1, 1, 
2023/11/24, 10, 13, 24, 1, 1, 
2023/11/25, 27, 11, 22, 2, 1, 
2023/11/26, 33, 13, 25, 1, 1, 
2023/11/27, 26, 3, 21, 1, 1, 
2023/11/28, 10, 2, 25, 1, 1, 
2023/11/29, 8, 6, 25, 1, 1, 
2023/11/30, 19, 3, 28, , 1, 
2023/12/1, 10, 3, 25, , 1, 
2023/12/2, 6, 3, 25, 2, 1, 
2023/12/3, 21, 4, 26, 1, 1, 
2023/12/4, 13, 3, 26, 2, 1, 
2023/12/5, 11, 7, 25, 3, 1, 
2023/12/6, 25, 7, 24, 2, 1, 
2023/12/7, 19, 2, 29, 1, 1, 
2023/12/8, 7, 2, 27, 1, 1, 
2023/12/9, 6, 2, 24, 4, 1, 
2023/12/10, 7, 3, 24, 2, 1, 
2023/12/11, 9, 1, 26, 1, , 
2023/12/12, 5, 14, 27, 1, 1, 
2023/12/13, 13, 12, 28, 1, , 
2023/12/14, 11, 1, 29, 1, 1, 
2023/12/15, 5, 5, 28, 2, 1, 
2023/12/16, 21, 5, 26, 1, 1, 
2023/12/17, 19, 7, 28, 1, 1, 
2023/12/18, 15, 5, 28, 2, 2, 
2023/12/19, 11, 7, 30, , 1, 
2023/12/20, 8, 1, 29, 1, 1, 
2023/12/21, 5, 2, 29, 1, 1, 
2023/12/22, 6, 4, 30, 1, 1, 
2023/12/23, 12, 4, 26, , 1, 
2023/12/24, 16, 3, 26, 2, 1, 
2023/12/25, 12, 5, 26, 1, 1, 
2023/12/26, 12, 6, 26, 2, 1, 
2023/12/27, 16, 11, 23, 4, 2, 
2023/12/28, 31, 11, 19, 4, 1, 
2023/12/29, 29, 13, 25, 5, 1, 
2023/12/30, 40, 4, 29, 1, 1, 
2023/12/31, 14, 3, 26, 1, 1, 
2023/7/3, 34, 13, 27, 5, 1, 
2023/7/4, 46, 13, 29, 4, 1, 
2023/7/5, 46, 14, 28, 3, 1, 
2023/7/6, 45, 12, 29, 3, 1, 
2023/7/7, 37, 13, 38, 3, 1, 
2023/7/8, 39, 16, 37, 3, 1, 
2023/7/9, 45, 23, 33, 5, 1, 
2023/7/10, 52, 29, 35, 6, 1, 
2023/7/11, 59, 31, 29, 6, 1, 
2023/7/12, 62, 21, 28, 5, 1, 
2023/7/13, 54, 17, 33, 3, 1, 
2023/7/14, 48, 18, 34, 2, , 
2023/7/15, 49, 19, 28, 1, , 
2023/7/16, 51, 23, 25, 2, 1, 
2023/7/17, 60, 22, 37, 5, 1, 
2023/7/18, 52, 36, 41, 6, 1, 
2023/7/19, 57, 28, 33, 5, 1, 
2023/7/20, 66, 24, 39, 4, 1, 
2023/7/21, 51, 19, 34, 3, 1, 
2023/7/22, 52, 21, 27, 2, 1, 
2023/7/23, 55, 19, 40, 2, 1, 
2023/7/24, 38, 14, 32, 2, 1, 
2023/7/25, 29, 12, 35, 2, 1, 
